gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,gene_label,regulation,significant_fdr,significant_fdr_lfc,neg_log10_pvalue,neg_log10_padj
ENSG00000125730,10322.346450012095,7.190770492418965,0.6738746910580071,8.126469224848836e-28,1.494457690449701e-23,C3,C3,Up,TRUE,TRUE,27.09009810498779,22.82551637574971
ENSG00000154269,1469.8026983526568,8.027193642902235,0.7900125215391052,1.550327305499902e-25,1.4255259574071599e-21,ENPP3,ENPP3,Up,TRUE,TRUE,24.809576603786873,20.846024870212776
ENSG00000167772,1953.8210327937759,7.519615636353714,0.7519725875136878,9.154564726047238e-25,5.6117481770669574e-21,ANGPTL4,ANGPTL4,Up,TRUE,TRUE,24.038362300359534,20.25090182584112
ENSG00000169344,12198.01702767799,-12.051991005235461,1.3268969020974664,4.0536212995738066e-21,1.8636523924790576e-17,UMOD,UMOD,Down,TRUE,TRUE,20.392156826730247,16.72963508882013
ENSG00000243955,249.4581003482797,7.4745308843568274,0.8283937765043442,1.725179465128184e-20,6.345210072741461e-17,GSTA1,GSTA1,Up,TRUE,TRUE,19.763165719917804,16.197553995015745
ENSG00000129521,1820.1028362232878,4.027236212978621,0.45461294419972204,5.981052746401408e-20,1.8331926667720313e-16,EGLN3,EGLN3,Up,TRUE,TRUE,19.223222367564475,15.73679188871004
ENSG00000100292,286.25392440409934,4.737757912883173,0.5500168092940548,4.800433788522041e-19,1.2611425338702906e-15,HMOX1,HMOX1,Up,TRUE,TRUE,18.318719516072495,14.899235826848672
ENSG00000074803,8855.43039070526,-9.284060547450093,1.1177900535432483,4.300779827116106e-18,9.886417627583149e-15,SLC12A1,SLC12A1,Down,TRUE,TRUE,17.366452790023462,14.00496104777733
ENSG00000107159,472.4622000944641,7.006040589572489,0.8632956911250353,1.975714935798536e-17,3.6333397669335076e-14,CA9,CA9,Up,TRUE,TRUE,16.704275717005764,13.439693987767686
ENSG00000182752,340.60460483936356,-3.2610670264364163,0.39727280685878086,1.9368188279486998e-17,3.6333397669335076e-14,PAPPA,PAPPA,Down,TRUE,TRUE,16.71291100173935,13.439693987767686
ENSG00000166825,986.07636989485,4.722968383462387,0.6001236636762759,2.3178793460599483e-16,3.875072834003859e-13,ANPEP,ANPEP,Up,TRUE,TRUE,15.63490917437076,12.411720130290908
ENSG00000159263,360.54794169071675,-5.138717905028849,0.6641380954097152,5.800121983304943e-16,8.888686939414824e-13,SIM2,SIM2,Down,TRUE,TRUE,15.236562872623418,12.051162389432966
