gene_id,NC1_count,NC2_count,NC3_count,NC4_count,PD1_count,PD2_count,PD3_count,PD4_count
ENSG00000006116,14,420,193,18,16,22,27,11
ENSG00000006118,79,347,617,130,336,159,364,350
ENSG00000006125,1363,196,227,999,774,944,922,962
ENSG00000006128,2,28,94,17,3,6,11,1
ENSG00000006194,269,196,410,279,234,247,303,251
ENSG00000006210,387,269,420,378,364,385,253,572
ENSG00000006282,428,84,212,434,379,345,859,634
ENSG00000006283,13,269,479,47,14,10,34,9
ENSG00000006327,134,34,74,141,399,242,711,174
ENSG00000006377,23,202,277,17,9,20,24,3
ENSG00000006432,261,527,681,225,81,84,180,63
ENSG00000006451,114,118,84,113,156,220,165,81
ENSG00000006453,138,67,94,132,82,43,163,103
ENSG00000006459,539,280,247,324,374,352,332,344
ENSG00000006468,192,67,248,54,367,126,42,42
ENSG00000006530,173,207,247,157,132,111,107,217
ENSG00000006534,40,28,217,14,117,80,114,159
ENSG00000006555,97,190,336,138,123,50,176,217
ENSG00000006576,217,56,30,144,236,218,240,230
ENSG00000006606,5,0,5,8,0,0,3,0
ENSG00000006607,492,381,420,416,222,253,287,333
ENSG00000006611,14,39,0,64,337,349,329,765
ENSG00000006625,55,0,40,65,54,46,74,45
ENSG00000006634,76,78,74,38,59,42,68,51
ENSG00000006638,14,22,44,25,14,38,37,1
ENSG00000006652,296,134,119,281,230,273,233,226
ENSG00000006659,0,45,0,3,3,1,5,0
ENSG00000006695,103,106,138,142,75,43,96,94
ENSG00000006704,235,28,94,347,70,75,98,354
ENSG00000006712,143,45,25,94,96,68,95,134
ENSG00000006715,745,45,99,683,691,534,456,483
ENSG00000006740,109,256,322,166,39,105,142,19
ENSG00000006744,329,213,385,384,210,270,545,225
ENSG00000006747,1837,157,74,938,53,8,271,353
ENSG00000006756,1161,90,247,1086,545,675,378,651
ENSG00000006757,73,39,79,66,45,51,59,42
ENSG00000006788,2,84,5,7,1,11,18,13
ENSG00000006831,419,157,133,350,352,386,342,308
ENSG00000006837,7,0,10,12,1,17,10,31
ENSG00000007001,11,78,109,14,2,5,11,3
ENSG00000007038,6,50,10,5,6,3,5,3
ENSG00000007047,78,207,311,174,79,113,111,171
ENSG00000007062,1591,162,173,1220,124,12,80,920
ENSG00000007080,41,17,15,33,55,52,78,111
ENSG00000007129,0,21,20,4,7,10,20,3
ENSG00000007168,1118,151,148,879,851,948,898,818
ENSG00000007171,6,34,64,10,6,10,5,7
