gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,symbol,gene_label,regulation,significant_fdr,significant_fdr_lfc,neg_log10_pvalue,neg_log10_padj
ENSG00000169228,153.09463077260128,1.1380449776294592,0.4945844793701786,0.00784365605295323,0.047371045915865315,RAB24,RAB24,Up,TRUE,TRUE,2.105481458550848,1.324487026281665
ENSG00000187185,22.126773971333932,-2.297339642571396,1.6444059880244741,0.007865287774625031,0.047486093951199716,LOC388282,LOC388282,Down,TRUE,TRUE,2.1042853828124306,1.3234335525743768
ENSG00000168267,19.267825407488587,-2.4181961419015123,2.040835176158331,0.007875554419551983,0.04753247317872037,PTF1A,PTF1A,Down,TRUE,TRUE,2.103718863204815,1.3230095881894113
ENSG00000180440,44.75668727903431,-2.142015050786248,1.4093017388541496,0.007878228822423103,0.04753301445024963,SERTM1,SERTM1,Down,TRUE,TRUE,2.1035714093008693,1.3230046427303548
ENSG00000180878,23.56017233632277,-2.125985108024909,1.3498167943529564,0.00788442984581862,0.047554826128109025,C11orf42,C11orf42,Down,TRUE,TRUE,2.1032297067444117,1.3228054018717148
ENSG00000163646,16.46809699813803,-2.390002004146533,1.7983772346401443,0.007891244863338297,0.04756473059219642,CLRN1,CLRN1,Down,TRUE,TRUE,2.1028544803605578,1.3227149587648874
ENSG00000035664,78.05712776855373,-1.332856894355072,0.6158445739669066,0.007888830361029185,0.04756473059219642,DAPK2,DAPK2,Down,TRUE,TRUE,2.10298738277359,1.3227149587648874
ENSG00000120594,745.8916067448731,1.154926106277446,0.5025030258768435,0.00789497723270397,0.04757163542248559,PLXDC2,PLXDC2,Up,TRUE,TRUE,2.102649118059144,1.322651918103909
ENSG00000188176,112.70285081929768,-1.8251142556624897,1.0152999910481593,0.007903778548832304,0.047609068952841824,SMTNL2,SMTNL2,Down,TRUE,TRUE,2.1021652364831134,1.3223103115436978
ENSG00000183695,37.852432313993,-2.079575249569346,1.3068134781830434,0.007908355886596656,0.047621042814182224,MRGPRX2,MRGPRX2,Down,TRUE,TRUE,2.1019137950858102,1.3222010985681352
ENSG00000059915,59.50886188056168,-1.7352561706725886,0.9247319750624816,0.007914860013776401,0.0476446074151712,PSD,PSD,Down,TRUE,TRUE,2.1015567618859055,1.3219862472264008
ENSG00000052344,161.92346551399623,-1.5581242334292231,0.7793345171374457,0.007936860828825849,0.0477614105504278,PRSS8,PRSS8,Down,TRUE,TRUE,2.1003512348893856,1.3209228555549604
ENSG00000144366,162.2212082296341,-1.1785884632842263,0.521932626232786,0.007950399741383323,0.04782723298790949,GULP1,GULP1,Down,TRUE,TRUE,2.099611034725605,1.3203247442136163
ENSG00000221837,27.567880579823317,-2.3959226409121106,1.9781686826320308,0.007978633088358101,0.047895533449582424,KRTAP10-9,KRTAP10-9,Down,TRUE,TRUE,2.0980715062723614,1.3197049853045535
ENSG00000179796,49.63369728126942,-1.9183537060684621,1.1120674056881108,0.007976386484050677,0.047895533449582424,LRRC3B,LRRC3B,Down,TRUE,TRUE,2.098193811087565,1.3197049853045535
ENSG00000155130,1044.433128275131,1.6114411877038082,0.8104738751114147,0.007976246732367034,0.047895533449582424,ENSG00000155130,ENSG00000155130,Up,TRUE,TRUE,2.098201420287152,1.3197049853045535
ENSG00000182168,195.93257695538455,-1.5456273647407905,0.7708784342060395,0.00797387275803329,0.047895533449582424,UNC5C,UNC5C,Down,TRUE,TRUE,2.098330698812189,1.3197049853045535
ENSG00000129465,76.95146102135617,-1.443665538147281,0.6939380347003435,0.007974588866665978,0.047895533449582424,RIPK3,RIPK3,Down,TRUE,TRUE,2.098291697931082,1.3197049853045535
ENSG00000005884,1026.1354789565985,1.2026327108618624,0.5340504458531304,0.007979984474688447,0.047895533449582424,ITGA3,ITGA3,Up,TRUE,TRUE,2.0979979535820648,1.3197049853045535
ENSG00000151692,191.54183134350635,-1.1421721301375098,0.5009525524222884,0.007970982114796875,0.047895533449582424,RNF144A,RNF144A,Down,TRUE,TRUE,2.09848816533421,1.3197049853045535
ENSG00000230062,64.65388382295801,-2.1362121126262994,1.4146023163551338,0.008001113880435087,0.04793740383794621,ANKRD66,ANKRD66,Down,TRUE,TRUE,2.0968495482015617,1.3193254898973734
ENSG00000184881,16.674680432052334,-2.0960311971947667,1.305135819126246,0.008010892622472376,0.04793740383794621,ENSG00000184881,ENSG00000184881,Down,TRUE,TRUE,2.096319089481855,1.3193254898973734
ENSG00000166862,31.182721499530352,-2.092878416180648,1.323151997380306,0.007993125743574511,0.04793740383794621,CACNG2,CACNG2,Down,TRUE,TRUE,2.0972833548881242,1.3193254898973734
ENSG00000101162,50.952334682287194,-2.0711185349071095,1.3124314153741437,0.008000144220545792,0.04793740383794621,TUBB1,TUBB1,Down,TRUE,TRUE,2.0969021838052253,1.3193254898973734
ENSG00000147689,79.91375441806665,-1.9920335482720402,1.208732459220107,0.008010466839794233,0.04793740383794621,SACK1A,SACK1A,Down,TRUE,TRUE,2.0963421730495244,1.3193254898973734
ENSG00000186049,48.121629124650696,-1.8137328417382905,1.0024115332929413,0.00799541835575713,0.04793740383794621,KRT73,KRT73,Down,TRUE,TRUE,2.0971588071093277,1.3193254898973734
ENSG00000180537,61.80917378665954,-1.612286530642505,0.8224990279444864,0.008010800116991039,0.04793740383794621,RNF182,RNF182,Down,TRUE,TRUE,2.09632410451001,1.3193254898973734
ENSG00000079435,40.748201656761836,-1.378767003344142,0.6472277323227741,0.00799074624992215,0.04793740383794621,LIPE,LIPE,Down,TRUE,TRUE,2.097412660349404,1.3193254898973734
ENSG00000142949,1540.556011585591,1.2485842556413573,0.5577606635869454,0.008013027699719774,0.04793740383794621,PTPRF,PTPRF,Up,TRUE,TRUE,2.0962033559717246,1.3193254898973734
ENSG00000189157,135.54469622982037,-1.242279792940837,0.5609502205957803,0.008012041493953612,0.04793740383794621,FAM47E,FAM47E,Down,TRUE,TRUE,2.096256810183701,1.3193254898973734
ENSG00000196118,100.8637426257301,-1.5559642066794146,0.7790139792762482,0.008020078813619682,0.04794839056647138,CFAP119,CFAP119,Down,TRUE,TRUE,2.0958213638664667,1.3192259657577827
ENSG00000103496,162.6779785385816,1.0269073903210266,0.4356210705291322,0.008018741411841038,0.04794839056647138,STX4,STX4,Up,TRUE,TRUE,2.0958937914148446,1.3192259657577827
